name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
monterrey,2023-05-20,27.1,19.5,22.7,29.5,19.5,22.8,21.1,91.3,20.59,100,45.83,rain,0,0,21.6,24.1,335.3,1019.8,99.6,8.5,80.6,6.8,6,60,2023-05-20T05:53:34,2023-05-20T19:22:21,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999"
monterrey,2023-05-21,27.6,19.1,23.5,29,19.1,23.7,19,78.4,0,0,0,,0,0,23,14.8,125,1018.6,67.8,13,228,19.5,8,10,2023-05-21T05:53:10,2023-05-21T19:22:53,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-22,29.5,19.6,24.6,30.9,19.6,25.1,19.9,77.3,0,0,0,,0,0,31.7,17.8,120.5,1015.4,53.3,12.1,243,21,9,60,2023-05-22T05:52:47,2023-05-22T19:23:24,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-23,31.2,21.9,26.6,33.5,21.9,27.5,20.6,72,0,0,0,,0,0,36,22.7,113.2,1013.6,57.1,15.5,225.7,19.4,8,60,2023-05-23T05:52:26,2023-05-23T19:23:54,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999"
monterrey,2023-05-24,30.6,21.6,26.2,32.9,21.6,27.2,20.6,73.3,0,0,0,,0,0,36,22.3,110.8,1012.3,64.9,13.1,164.8,14.1,7,75,2023-05-24T05:52:05,2023-05-24T19:24:25,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,76394099999,76394399999"
monterrey,2023-05-25,31.5,22.1,26.1,33.1,22.1,26.6,19.5,70,0,0,0,,0,0,41.8,22.6,102.4,1012.4,73.8,14.6,154.1,13.2,7,60,2023-05-25T05:51:47,2023-05-25T19:24:55,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,MMAN,76394399999"
monterrey,2023-05-26,31.1,17,25.9,32.5,17,26.4,18.6,66.9,0.3,100,4.17,rain,0,0,40.3,24.5,116.7,1013.9,64.1,16.1,291.9,25.2,9,30,2023-05-26T05:51:29,2023-05-26T19:25:25,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMIO,E0076,F0561,MMMY,76394099999,76394399999,remote"
monterrey,2023-05-27,29.1,22.6,25.5,30.9,22.6,25.9,20,72.5,0,0,0,,0,0,41.8,20.9,117,1015.5,92.9,11.3,122.7,10.6,6,60,2023-05-27T05:51:12,2023-05-27T19:25:55,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"MMIO,76390099999,E0076,F0561,76394099999,76394399999"
monterrey,2023-05-28,30.1,19.1,24.1,31.4,19.1,24.4,19.3,77.4,3.503,100,8.33,rain,0,0,33.8,20.2,105.5,1014.7,85,16.8,222.8,19.1,9,60,2023-05-28T05:50:57,2023-05-28T19:26:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMIO,E0076,F0561,76394099999,MMMY,MMAN,76394399999,remote"
monterrey,2023-05-29,30.1,17.1,23.2,31.7,17.1,23.5,18.2,76.7,9.058,100,20.83,rain,0,0,28.8,22.3,345.4,1013.1,51.8,16.7,256.3,21.9,8,60,2023-05-29T05:50:43,2023-05-29T19:26:54,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMIO,76390099999,E0076,F0561,76394099999,MMMY,76394399999"
monterrey,2023-05-30,32.1,18.8,25.2,33.9,18.8,25.8,18.4,68.5,0,0,0,,0,0,31.7,17.5,102.6,1012.5,20.5,16.7,310.4,26.8,9,60,2023-05-30T05:50:31,2023-05-30T19:27:23,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-31,31.1,20,25.7,32.3,20,26.2,19.6,72.4,0,0,0,,0,0,44.6,21.8,98.3,1011.2,36.3,12.8,228.9,19.6,8,30,2023-05-31T05:50:19,2023-05-31T19:27:51,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,F0561,76394099999,MMMY,76394399999,76393099999"
monterrey,2023-06-01,30.7,20,25.7,33.9,20,26.8,20.8,76,0.6,100,8.33,rain,0,0,46.1,30.2,114.5,1009.3,69.8,11.4,136.8,11.7,5,75,2023-06-01T05:50:09,2023-06-01T19:28:19,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMIO,76390099999,E0076,F0561,76394099999,76394399999,remote,76393099999"
monterrey,2023-06-02,30.5,23.1,26.1,34,23.1,27.1,22,79.3,0.1,100,4.17,rain,0,0,41.8,23.2,112.1,1010.2,87.5,8.7,131.6,11.2,5,75,2023-06-02T05:50:00,2023-06-02T19:28:46,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMIO,E0076,F0561,76394099999,76394399999,76393099999"
monterrey,2023-06-03,29.6,22.6,26.1,32.1,22.6,27.2,21.8,78.5,2.842,100,16.67,rain,0,0,34.6,24.5,105,1009,86.1,8.5,146,12.5,6,75,2023-06-03T05:49:52,2023-06-03T19:29:13,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"MMIO,E0076,F0561,76394099999,MMMY,76394399999,76393099999"
monterrey,2023-06-04,28.9,19.1,24.4,30,19.1,24.8,19.8,78.3,1.593,100,20.83,rain,0,0,27.4,14.1,93.7,1011.4,59.7,12,104.1,8.9,4,75,2023-06-04T05:49:46,2023-06-04T19:29:40,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"MMIO,E0076,F0561,76394099999,MMMY,76394399999"
monterrey,2023-06-05,31.7,20.1,25.9,33,20.1,26.5,19.2,68.6,1.259,100,8.33,rain,0,0,25.9,17.4,99.4,1012.3,51.1,12.7,264.4,22.8,8,60,2023-06-05T05:49:40,2023-06-05T19:30:05,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MMIO,E0076,76394099999,MMMY,76394399999,76393099999"
